Day,Date,Price,Daily_Change%,Signal
1,2025-12-06,167.19035,0.04808376692576445,HOLD
2,2025-12-07,168.15309,0.5758285522460938,BUY
3,2025-12-08,169.30676,0.6860852241516113,BUY
4,2025-12-09,170.34006,0.6103038787841797,BUY
5,2025-12-10,171.22101,0.5171775817871094,BUY
