Strategy,final_value,total_return_pct,total_return_inr,total_trades,winning_trades,losing_trades,win_rate,total_profit,total_loss,profit_factor,max_drawdown,sharpe_ratio
Simple Signal,109061.08215332031,9.061082153320314,9061.082153320312,1,1,0,100.0,9061.082153320312,0.0,inf,3.3932863915380924,2.4546118254008302
Stop-Loss (3.0%/5.0%),107073.63928222655,7.073639282226547,7073.639282226548,1,1,0,100.0,7073.639282226546,0.0,inf,3.3932863915380924,1.9977307648382867
Confidence-Based Sizing,102712.16064453125,2.71216064453125,2712.16064453125,1,1,0,100.0,2712.16064453125,0.0,inf,1.030275274006094,2.444510003767085
Hold 3 Days,99570.96044921875,-0.42903955078125,-429.03955078125,4,1,3,25.0,946.2020874023438,1375.2416381835938,0.688026061116124,1.3752416381835937,-0.5590977745592627
Buy & Hold (Benchmark),98430.04107666016,-1.5699589233398437,-1569.9589233398438,1,0,1,0.0,0.0,1569.9589233398438,0.0,10.691294132097672,-0.24632541002960795
