Date,Close,High,Low,Open,Volume,Returns,Log_Returns,SMA_5,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,Volatility_5,Volatility_10,Volatility_20,Volume_MA,Volume_Ratio,RSI,MACD,Signal_Line,MACD_Hist,BB_Middle,BB_Std,BB_Upper,BB_Lower,BB_Width,Momentum_5,Momentum_10
1996-03-08,4.986959934234619,5.002273284228487,4.919327416799073,4.976751178742444,24870423,-0.004838304504789059,-0.004850046991156809,4.991809368133545,5.062632656097412,5.162869882583618,4.797920770645142,5.05060064742982,5.008434427067458,0.01056800592428915,0.022905802093235474,0.025740737670104253,41146448.0,0.6044366940252048,37.85482067317402,0.04216622036236206,0.08916971459494054,-0.04700349423257848,5.162869882583618,0.1592412451317947,5.4813523728472076,4.844387392320029,0.12337420756542998,0.005103111267089844,-0.27436017990112305
1996-03-11,4.891254425048828,4.963991988256619,4.837658987518254,4.912948198333077,32018877,-0.019191152615602336,-0.019377693261350748,4.978793430328369,5.02243595123291,5.14315435886383,4.794041442871094,5.026080952610731,4.999579616321895,0.013749649590095139,0.022930714586097037,0.023086873683481564,38559441.3,0.8303770988507555,41.522406045628394,0.02650133628883644,0.07663589582280834,-0.050134559533971904,5.14315435886383,0.16744905917759537,5.478052477219021,4.80825624050864,0.13023063084934222,-0.0650796890258789,-0.40196704864501953
1996-03-12,4.8236212730407715,4.9052908929426415,4.467591913532148,4.900186731359951,22942379,-0.013827363316391228,-0.013923851791191086,4.952250862121582,4.984025573730468,5.119929504394531,4.790698099136352,4.9949280510765695,4.986302974366244,0.014476250652623842,0.022846270224769313,0.023174835587498287,36087271.2,0.6357471273693867,39.13033765640872,0.00862507671032553,0.06303360775177248,-0.05440853104144695,5.119929504394531,0.17815479878524143,5.476239101965014,4.763619906824049,0.1391853529485729,-0.13271284103393555,-0.38410377502441406
1996-03-13,5.015034198760986,5.0341758865531165,4.854246622374397,4.887425403377017,35833998,0.03968241179920606,0.03891529324737563,4.9456151008605955,4.959652137756348,5.09881021976471,4.7911574649810795,4.998021746434108,4.9884678548486745,0.02348019489493319,0.026933222590272428,0.024142686290978696,34516116.25,1.0381816349340867,37.14925932729254,0.009553891585433405,0.05233758635724076,-0.04278369477180736,5.09881021976471,0.162921665054517,5.424653549873744,4.772966889655676,0.12781151526132722,-0.03317880630493164,-0.24373435974121094
1996-03-14,4.963992118835449,5.089048865548626,4.946126683514427,5.0150354765903815,32372426,-0.010177812932591235,-0.01022996100795303,4.936172389984131,4.9634805679321286,5.078903222084046,4.793760719299317,4.992785786320223,4.986625971855784,0.02370250654857537,0.01765856237129937,0.024075835268550803,33349761.35,0.9706943824951838,36.98326956574019,0.006159814464438362,0.04310197798725327,-0.03694216352281491,5.078903222084046,0.1530802440143999,5.385063710112846,4.772742734055246,0.12056165460982018,-0.04721355438232422,0.0382843017578125
1996-03-15,4.859350681304932,4.9869594626224565,4.842761509387871,4.957609455924761,33239823,-0.021080097434777234,-0.0213054553602725,4.910650539398193,4.9512299537658695,5.059378933906555,4.796185283660889,4.972255209132395,4.977059352588197,0.025304028312228926,0.018483248320481923,0.024081085009185873,33205803.75,1.0010244971106896,32.142875366555685,-0.004804143455802823,0.03352070888891253,-0.03832485234471535,5.059378933906555,0.15502102675404567,5.369420987414647,4.749336880398464,0.12256130942486855,-0.1276092529296875,-0.12250614166259766
1996-03-18,4.659005641937256,4.847866984750276,4.644968547722142,4.810860297051906,35009348,-0.04122876748501614,-0.04210278050679442,4.864200782775879,4.921497106552124,5.0282423257827755,4.798150444030762,4.924058797628988,4.953178961758154,0.0299113593106244,0.022234293841470965,0.0253713559420655,33722011.75,1.0381749540787701,29.366611703970293,-0.02912016412916607,0.020992487411655335,-0.05011265154082141,5.0282423257827755,0.16983961386247204,5.36792155350772,4.6885630980578314,0.13510853523634195,-0.23224878311157227,-0.29732847213745117
1996-03-19,4.457382678985596,4.70877279749653,4.364228055242761,4.646244006989005,31957429,-0.04327596453989768,-0.044240293314653505,4.790953063964844,4.871601963043213,4.997169399261475,4.796517038345337,4.852257214586832,4.915990661502525,0.03368097485200348,0.024989364583332837,0.025719688884234256,33558283.9,0.9522962823495275,22.931045701735556,-0.06373344691569294,0.004047249826457096,-0.06778069674215004,4.997169399261475,0.21176878508200622,5.4207069694254875,4.5736318290974625,0.16951099165323735,-0.3662385940551758,-0.49895143508911133
1996-03-20,4.457382678985596,4.457382678985596,4.457382678985596,4.457382678985596,0,0.0,0.0,4.679422760009766,4.81251893043518,4.9660964727401735,4.795368537902832,4.791503522168267,4.881623821455566,0.01897617509150512,0.023241078898809674,0.025719688884234256,33558283.9,0.0,29.588460209978365,-0.0901202992872987,-0.014786305093698642,-0.07533399419360005,4.9660964727401735,0.24251567848698966,5.451127829714153,4.481065115766194,0.19533706589729247,-0.5576515197753906,-0.5908303260803223
1996-03-21,4.734294891357422,4.772577403066807,4.606686085481552,4.606686085481552,23555969,0.06212439727854946,0.060271050873877116,4.6334833145141605,4.784827852249146,4.937448263168335,4.797639980316162,4.7827017329469514,4.870592912554082,0.0432974300253503,0.03311455487172425,0.027723091450799195,33088384.55,0.7119105184601706,40.95148528621837,-0.08789117960713089,-0.029407308004662295,-0.058483871602468596,4.937448263168335,0.23377777125513313,5.405003805678601,4.469892720658069,0.1893915713499499,-0.22969722747802734,-0.27691078186035156
